brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
MICRO,08 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7400000
MICRO,08 OCT,REXTON,2015,AUTOMATIC,DIESEL,2000,13800000
MICRO,02 OCT,KORONDO,2014,AUTOMATIC,DIESEL,2000,7550000
MICRO,14 OCT,OTHER MODEL,2012,AUTOMATIC,DIESEL,1950,6900000
MICRO,11 SEP,KYRON,2009,AUTOMATIC,DIESEL,2000,5600000
MICRO,10 SEP,KYRON,2008,AUTOMATIC,DIESEL,2800,6000000
MICRO,07 SEP,OTHER MODEL,2010,AUTOMATIC,DIESEL,2700,6000000
MICRO,21 OCT,MX 7,2013,MANUAL,PETROL,1300,2600000
MICRO,20 OCT,PANDA,2015,MANUAL,PETROL,997,2695000
MICRO,19 OCT,TREND,2011,MANUAL,PETROL,1000,1775000
MICRO,18 OCT,PANDA,2011,MANUAL,PETROL,1300,2100000
MICRO,17 OCT,PANDA CROSS,2013,MANUAL,PETROL,1300,2860000
MICRO,16 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,17 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 OCT,TREND,2009,MANUAL,PETROL,1000,1790008
MICRO,15 OCT,PANDA,2014,MANUAL,PETROL,998,2500000
MICRO,15 OCT,GEELY,2015,MANUAL,PETROL,1000,2525000
MICRO,14 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,12 OCT,PANDA CROSS,2016,MANUAL,PETROL,1342,4000000
MICRO,12 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2590000
MICRO,11 OCT,PANDA CROSS,2014,MANUAL,PETROL,1300,2895000
MICRO,16 OCT,PANDA CROSS,2018,MANUAL,PETROL,1000,3850000
MICRO,10 OCT,MX 7,2012,MANUAL,PETROL,1500,2500000
MICRO,10 OCT,PANDA,2015,MANUAL,PETROL,1000,2590000
MICRO,11 OCT,PANDA,2015,MANUAL,PETROL,1000,2695000
MICRO,16 OCT,MX 7,2014,MANUAL,PETROL,1500,3295000
MICRO,09 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,05 OCT,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,05 OCT,MX 7,2014,MANUAL,PETROL,1500,3350000
MICRO,05 OCT,PANDA,2015,MANUAL,PETROL,1000,2690000
MICRO,03 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2550000
MICRO,03 OCT,GLORY,2018,MANUAL,PETROL,1300,4950000
MICRO,28 SEP,PANDA,2012,MANUAL,PETROL,1000,1980000
MICRO,12 OCT,OTHER MODEL,2012,MANUAL,PETROL,1300,2650000
MICRO,25 SEP,PANDA,2015,MANUAL,PETROL,997,2790000
MICRO,25 SEP,PANDA CROSS,2016,MANUAL,PETROL,1342,3690000
MICRO,21 SEP,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 SEP,PANDA,2016,MANUAL,PETROL,1000,2675000
MICRO,16 SEP,PANDA CROSS,2014,MANUAL,PETROL,1300,2730000
MICRO,16 SEP,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,16 SEP,PANDA,2014,MANUAL,PETROL,1000,2350000
MICRO,12 OCT,PANDA,2014,MANUAL,PETROL,1000,2550000
MICRO,13 SEP,MX 7,2012,MANUAL,PETROL,1500,2850000
MICRO,08 SEP,PANDA,2014,MANUAL,PETROL,998,2495000
MICRO,07 SEP,PANDA,2017,MANUAL,PETROL,1000,2950000
MICRO,18 SEP,TREND,2011,MANUAL,PETROL,1000,2100000
MICRO,03 SEP,PANDA,2012,MANUAL,PETROL,1000,2125000
MICRO,29 AUG,PANDA,2017,MANUAL,PETROL,998,2850000
MICRO,28 AUG,PANDA,2014,MANUAL,PETROL,997,2495000
MICRO,28 AUG,PANDA,2013,MANUAL,PETROL,1000,2090000
MICRO,24 AUG,MX 7,2015,MANUAL,PETROL,1500,3400000
MICRO,19 OCT,KYRON,2008,MANUAL,DIESEL,1998,5500000
MICRO,08 SEP,REXTON,2008,TIPTRONIC,DIESEL,2700,7800000
MICRO,03 SEP,REXTON,2015,TIPTRONIC,DIESEL,1998,14200000
MICRO,01 SEP,REXTON,2009,TIPTRONIC,DIESEL,2700,7750000
MICRO,15 OCT,VOLEEX,2013,AUTOMATIC,PETROL,1500,4250000
MICRO,11 OCT,PANDA,2018,AUTOMATIC,PETROL,1000,3750000
MICRO,06 OCT,EMGRAND,2016,AUTOMATIC,PETROL,1700,5500000
MICRO,06 OCT,BAIC,2018,AUTOMATIC,PETROL,1500,5990000
MICRO,10 SEP,PANDA CROSS,2017,AUTOMATIC,PETROL,998,3850000
MICRO,03 SEP,TIVOLI,2017,AUTOMATIC,PETROL,1600,8200000
MICRO,21 OCT,REXTON,2017,AUTOMATIC,DIESEL,2000,13000000
MICRO,20 OCT,OTHER MODEL,2011,AUTOMATIC,DIESEL,7696,5500000
MICRO,19 OCT,KORONDO,2012,AUTOMATIC,DIESEL,2900,7250000
MICRO,19 OCT,TIVOLI,2017,AUTOMATIC,DIESEL,1600,12790000
MICRO,18 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7890000
MICRO,17 OCT,KYRON,2008,AUTOMATIC,DIESEL,2000,5150000
MICRO,08 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7400000
MICRO,08 OCT,REXTON,2015,AUTOMATIC,DIESEL,2000,13800000
MICRO,02 OCT,KORONDO,2014,AUTOMATIC,DIESEL,2000,7550000
MICRO,14 OCT,OTHER MODEL,2012,AUTOMATIC,DIESEL,1950,6900000
MICRO,11 SEP,KYRON,2009,AUTOMATIC,DIESEL,2000,5600000
MICRO,10 SEP,KYRON,2008,AUTOMATIC,DIESEL,2800,6000000
MICRO,07 SEP,OTHER MODEL,2010,AUTOMATIC,DIESEL,2700,6000000
MICRO,21 OCT,MX 7,2013,MANUAL,PETROL,1300,2600000
MICRO,20 OCT,PANDA,2015,MANUAL,PETROL,997,2695000
MICRO,19 OCT,TREND,2011,MANUAL,PETROL,1000,1775000
MICRO,18 OCT,PANDA,2011,MANUAL,PETROL,1300,2100000
MICRO,17 OCT,PANDA CROSS,2013,MANUAL,PETROL,1300,2860000
MICRO,16 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,17 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 OCT,TREND,2009,MANUAL,PETROL,1000,1790008
MICRO,15 OCT,PANDA,2014,MANUAL,PETROL,998,2500000
MICRO,15 OCT,GEELY,2015,MANUAL,PETROL,1000,2525000
MICRO,14 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,12 OCT,PANDA CROSS,2016,MANUAL,PETROL,1342,4000000
MICRO,12 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2590000
MICRO,11 OCT,PANDA CROSS,2014,MANUAL,PETROL,1300,2895000
MICRO,16 OCT,PANDA CROSS,2018,MANUAL,PETROL,1000,3850000
MICRO,10 OCT,MX 7,2012,MANUAL,PETROL,1500,2500000
MICRO,10 OCT,PANDA,2015,MANUAL,PETROL,1000,2590000
MICRO,11 OCT,PANDA,2015,MANUAL,PETROL,1000,2695000
MICRO,16 OCT,MX 7,2014,MANUAL,PETROL,1500,3295000
MICRO,09 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,05 OCT,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,05 OCT,MX 7,2014,MANUAL,PETROL,1500,3350000
MICRO,05 OCT,PANDA,2015,MANUAL,PETROL,1000,2690000
MICRO,03 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2550000
MICRO,03 OCT,GLORY,2018,MANUAL,PETROL,1300,4950000
MICRO,28 SEP,PANDA,2012,MANUAL,PETROL,1000,1980000
MICRO,12 OCT,OTHER MODEL,2012,MANUAL,PETROL,1300,2650000
MICRO,25 SEP,PANDA,2015,MANUAL,PETROL,997,2790000
MICRO,25 SEP,PANDA CROSS,2016,MANUAL,PETROL,1342,3690000
MICRO,21 SEP,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 SEP,PANDA,2016,MANUAL,PETROL,1000,2675000
MICRO,16 SEP,PANDA CROSS,2014,MANUAL,PETROL,1300,2730000
MICRO,16 SEP,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,16 SEP,PANDA,2014,MANUAL,PETROL,1000,2350000
MICRO,12 OCT,PANDA,2014,MANUAL,PETROL,1000,2550000
MICRO,13 SEP,MX 7,2012,MANUAL,PETROL,1500,2850000
MICRO,08 SEP,PANDA,2014,MANUAL,PETROL,998,2495000
MICRO,07 SEP,PANDA,2017,MANUAL,PETROL,1000,2950000
MICRO,18 SEP,TREND,2011,MANUAL,PETROL,1000,2100000
MICRO,03 SEP,PANDA,2012,MANUAL,PETROL,1000,2125000
MICRO,29 AUG,PANDA,2017,MANUAL,PETROL,998,2850000
MICRO,28 AUG,PANDA,2014,MANUAL,PETROL,997,2495000
MICRO,28 AUG,PANDA,2013,MANUAL,PETROL,1000,2090000
MICRO,24 AUG,MX 7,2015,MANUAL,PETROL,1500,3400000
MICRO,19 OCT,KYRON,2008,MANUAL,DIESEL,1998,5500000
MICRO,08 SEP,REXTON,2008,TIPTRONIC,DIESEL,2700,7800000
MICRO,03 SEP,REXTON,2015,TIPTRONIC,DIESEL,1998,14200000
MICRO,01 SEP,REXTON,2009,TIPTRONIC,DIESEL,2700,7750000
MICRO,15 OCT,VOLEEX,2013,AUTOMATIC,PETROL,1500,4250000
MICRO,11 OCT,PANDA,2018,AUTOMATIC,PETROL,1000,3750000
MICRO,06 OCT,EMGRAND,2016,AUTOMATIC,PETROL,1700,5500000
MICRO,06 OCT,BAIC,2018,AUTOMATIC,PETROL,1500,5990000
MICRO,10 SEP,PANDA CROSS,2017,AUTOMATIC,PETROL,998,3850000
MICRO,03 SEP,TIVOLI,2017,AUTOMATIC,PETROL,1600,8200000
MICRO,21 OCT,REXTON,2017,AUTOMATIC,DIESEL,2000,13000000
MICRO,20 OCT,OTHER MODEL,2011,AUTOMATIC,DIESEL,7696,5500000
MICRO,19 OCT,KORONDO,2012,AUTOMATIC,DIESEL,2900,7250000
MICRO,19 OCT,TIVOLI,2017,AUTOMATIC,DIESEL,1600,12790000
MICRO,18 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7890000
MICRO,17 OCT,KYRON,2008,AUTOMATIC,DIESEL,2000,5150000
MICRO,08 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7400000
MICRO,08 OCT,REXTON,2015,AUTOMATIC,DIESEL,2000,13800000
MICRO,02 OCT,KORONDO,2014,AUTOMATIC,DIESEL,2000,7550000
MICRO,14 OCT,OTHER MODEL,2012,AUTOMATIC,DIESEL,1950,6900000
MICRO,11 SEP,KYRON,2009,AUTOMATIC,DIESEL,2000,5600000
MICRO,10 SEP,KYRON,2008,AUTOMATIC,DIESEL,2800,6000000
MICRO,07 SEP,OTHER MODEL,2010,AUTOMATIC,DIESEL,2700,6000000
MICRO,21 OCT,MX 7,2013,MANUAL,PETROL,1300,2600000
MICRO,20 OCT,PANDA,2015,MANUAL,PETROL,997,2695000
MICRO,19 OCT,TREND,2011,MANUAL,PETROL,1000,1775000
MICRO,18 OCT,PANDA,2011,MANUAL,PETROL,1300,2100000
MICRO,17 OCT,PANDA CROSS,2013,MANUAL,PETROL,1300,2860000
MICRO,16 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,17 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 OCT,TREND,2009,MANUAL,PETROL,1000,1790008
MICRO,15 OCT,PANDA,2014,MANUAL,PETROL,998,2500000
MICRO,15 OCT,GEELY,2015,MANUAL,PETROL,1000,2525000
MICRO,14 OCT,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,12 OCT,PANDA CROSS,2016,MANUAL,PETROL,1342,4000000
MICRO,12 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2590000
MICRO,11 OCT,PANDA CROSS,2014,MANUAL,PETROL,1300,2895000
MICRO,16 OCT,PANDA CROSS,2018,MANUAL,PETROL,1000,3850000
MICRO,10 OCT,MX 7,2012,MANUAL,PETROL,1500,2500000
MICRO,10 OCT,PANDA,2015,MANUAL,PETROL,1000,2590000
MICRO,11 OCT,PANDA,2015,MANUAL,PETROL,1000,2695000
MICRO,16 OCT,MX 7,2014,MANUAL,PETROL,1500,3295000
MICRO,09 OCT,PANDA,2015,MANUAL,PETROL,1000,2700000
MICRO,05 OCT,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,05 OCT,MX 7,2014,MANUAL,PETROL,1500,3350000
MICRO,05 OCT,PANDA,2015,MANUAL,PETROL,1000,2690000
MICRO,03 OCT,PANDA CROSS,2012,MANUAL,PETROL,1300,2550000
MICRO,03 OCT,GLORY,2018,MANUAL,PETROL,1300,4950000
MICRO,28 SEP,PANDA,2012,MANUAL,PETROL,1000,1980000
MICRO,12 OCT,OTHER MODEL,2012,MANUAL,PETROL,1300,2650000
MICRO,25 SEP,PANDA,2015,MANUAL,PETROL,997,2790000
MICRO,25 SEP,PANDA CROSS,2016,MANUAL,PETROL,1342,3690000
MICRO,21 SEP,PANDA,2015,MANUAL,PETROL,1000,2500000
MICRO,16 SEP,PANDA,2016,MANUAL,PETROL,1000,2675000
MICRO,16 SEP,PANDA CROSS,2014,MANUAL,PETROL,1300,2730000
MICRO,16 SEP,PANDA CROSS,2015,MANUAL,PETROL,1299,4250000
MICRO,16 SEP,PANDA,2014,MANUAL,PETROL,1000,2350000
MICRO,12 OCT,PANDA,2014,MANUAL,PETROL,1000,2550000
MICRO,13 SEP,MX 7,2012,MANUAL,PETROL,1500,2850000
MICRO,08 SEP,PANDA,2014,MANUAL,PETROL,998,2495000
MICRO,07 SEP,PANDA,2017,MANUAL,PETROL,1000,2950000
MICRO,18 SEP,TREND,2011,MANUAL,PETROL,1000,2100000
MICRO,03 SEP,PANDA,2012,MANUAL,PETROL,1000,2125000
MICRO,29 AUG,PANDA,2017,MANUAL,PETROL,998,2850000
MICRO,28 AUG,PANDA,2014,MANUAL,PETROL,997,2495000
MICRO,28 AUG,PANDA,2013,MANUAL,PETROL,1000,2090000
MICRO,24 AUG,MX 7,2015,MANUAL,PETROL,1500,3400000
MICRO,19 OCT,KYRON,2008,MANUAL,DIESEL,1998,5500000
MICRO,08 SEP,REXTON,2008,TIPTRONIC,DIESEL,2700,7800000
MICRO,03 SEP,REXTON,2015,TIPTRONIC,DIESEL,1998,14200000
MICRO,01 SEP,REXTON,2009,TIPTRONIC,DIESEL,2700,7750000
MICRO,15 OCT,VOLEEX,2013,AUTOMATIC,PETROL,1500,4250000
MICRO,11 OCT,PANDA,2018,AUTOMATIC,PETROL,1000,3750000
MICRO,06 OCT,EMGRAND,2016,AUTOMATIC,PETROL,1700,5500000
MICRO,06 OCT,BAIC,2018,AUTOMATIC,PETROL,1500,5990000
MICRO,10 SEP,PANDA CROSS,2017,AUTOMATIC,PETROL,998,3850000
MICRO,03 SEP,TIVOLI,2017,AUTOMATIC,PETROL,1600,8200000
MICRO,21 OCT,REXTON,2017,AUTOMATIC,DIESEL,2000,13000000
MICRO,20 OCT,OTHER MODEL,2011,AUTOMATIC,DIESEL,7696,5500000
MICRO,19 OCT,KORONDO,2012,AUTOMATIC,DIESEL,2900,7250000
MICRO,19 OCT,TIVOLI,2017,AUTOMATIC,DIESEL,1600,12790000
MICRO,18 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7890000
MICRO,17 OCT,KYRON,2008,AUTOMATIC,DIESEL,2000,5150000
MICRO,08 OCT,REXTON,2008,AUTOMATIC,DIESEL,2700,7400000
MICRO,08 OCT,REXTON,2015,AUTOMATIC,DIESEL,2000,13800000
MICRO,02 OCT,KORONDO,2014,AUTOMATIC,DIESEL,2000,7550000
MICRO,14 OCT,OTHER MODEL,2012,AUTOMATIC,DIESEL,1950,6900000
MICRO,11 SEP,KYRON,2009,AUTOMATIC,DIESEL,2000,5600000
MICRO,10 SEP,KYRON,2008,AUTOMATIC,DIESEL,2800,6000000
MICRO,07 SEP,OTHER MODEL,2010,AUTOMATIC,DIESEL,2700,6000000
MICRO,21 OCT,MX 7,2013,MANUAL,PETROL,1300,2600000
MICRO,20 OCT,PANDA,2015,MANUAL,PETROL,997,2695000
MICRO,19 OCT,TREND,2011,MANUAL,PETROL,1000,1775000
MICRO,18 OCT,PANDA,2011,MANUAL,PETROL,1300,2100000
